Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
1,DOE/SC/Oak Ridge National Laboratory,"Summit - IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband","2,282,544","122,300.0","187,659.3","8,806"
2,National Supercomputing Center in Wuxi,"Sunway TaihuLight - Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway","10,649,600","93,014.6","125,435.9","15,371"
3,DOE/NNSA/LLNL,"Sierra - IBM Power System S922LC, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband","1,572,480","71,610.0","119,193.6",
4,National Super Computer Center in Guangzhou,"Tianhe-2A - TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000","4,981,760","61,444.5","100,678.7","18,482"
5,National Institute of Advanced Industrial Science and Technology (AIST),"AI Bridging Cloud Infrastructure (ABCI) - PRIMERGY CX2550 M4, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR","391,680","19,880.0","32,576.6","1,649"
6,Swiss National Supercomputing Centre (CSCS),"Piz Daint - Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100","361,760","19,590.0","25,326.3","2,272"
7,DOE/SC/Oak Ridge National Laboratory,"Titan - Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","560,640","17,590.0","27,112.5","8,209"
8,DOE/NNSA/LLNL,"Sequoia - BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","1,572,864","17,173.2","20,132.7","7,890"
9,DOE/NNSA/LANL/SNL,"Trinity - Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect","979,968","14,137.3","43,902.6","3,844"
10,DOE/SC/LBNL/NERSC,"Cori - Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect","622,336","14,014.7","27,880.7","3,939"
11,Korea Institute of Science and Technology Information,"Nurion - Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path","570,020","13,929.3","25,705.9",
12,Joint Center for Advanced High Performance Computing,"Oakforest-PACS - PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path","556,104","13,554.6","24,913.5","2,719"
13,Eni S.p.A.,"HPC4 - Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100","253,600","12,210.0","18,621.1","1,320"
14,Commissariat a l'Energie Atomique (CEA),"Tera-1000-2 - Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2","561,408","11,965.5","23,396.4","3,178"
15,Texas Advanced Computing Center/Univ. of Texas,"Stampede2 - PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path","367,024","10,680.7","18,309.2",
16,RIKEN Advanced Institute for Computational Science (AICS),"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","705,024","10,510.0","11,280.4","12,660"
